policyholder_id,age,gender,location
PH00000,18,Female,Tadepalligudem
PH00001,65,Male,Kolhapur
PH00002,32,Male,Shimoga
PH00003,43,Female,Kumbakonam
PH00004,35,Male,Nanded
PH00005,67,Female,Haridwar
PH00006,44,Male,Ramgarh
PH00007,28,Female,Ambarnath
PH00008,44,Female,Unnao
PH00009,21,Male,Bhalswa Jahangir Pur
PH00010,73,Female,Chandrapur
PH00011,28,Female,Gangtok
PH00012,66,Female,Karaikudi
PH00013,77,Female,Ichalkaranji
PH00014,55,Female,Malegaon
PH00015,74,Male,Visakhapatnam
PH00016,29,Female,Narasaraopet
PH00017,20,Female,Ghaziabad
PH00018,27,Male,Eluru
PH00019,70,Female,Raichur
PH00020,37,Male,Mehsana
PH00021,24,Female,Rohtak
PH00022,31,Male,Firozabad
PH00023,20,Female,Burhanpur
PH00024,60,Male,Dewas
PH00025,70,Male,Belgaum
PH00026,25,Female,Hazaribagh
PH00027,21,Male,Sultan Pur Majra
PH00028,75,Male,Dehradun
PH00029,60,Female,Meerut
PH00030,79,Female,Mau
PH00031,42,Male,Jaunpur
PH00032,71,Male,Parbhani
PH00033,56,Male,Katni
PH00034,28,Female,Phagwara
PH00035,52,Male,Mangalore
PH00036,67,Male,Gwalior
PH00037,57,Male,Noida
PH00038,71,Male,Alappuzha
PH00039,31,Female,Kollam
PH00040,57,Female,Guna
PH00041,57,Female,Fatehpur
PH00042,61,Female,Maheshtala
PH00043,51,Female,Khora 
PH00044,52,Female,Medininagar
PH00045,35,Male,Guntur
PH00046,25,Male,Tiruvottiyur
PH00047,55,Female,Tirupati
PH00048,56,Female,Alwar
PH00049,59,Female,Karnal
PH00050,52,Female,Howrah
PH00051,78,Male,Panihati
PH00052,74,Male,Kirari Suleman Nagar
PH00053,37,Female,Bihar Sharif
PH00054,71,Male,Lucknow
PH00055,39,Male,Ahmednagar
PH00056,20,Male,Saharsa
PH00057,48,Male,Navi Mumbai
PH00058,47,Female,Srinagar
PH00059,30,Male,Udaipur
PH00060,54,Female,Kulti
PH00061,24,Male,Thane
PH00062,23,Male,Raurkela Industrial Township
